k,f,grad_norm,t_k
340,-132.15387446148594,0.32784268821670043,1.0
341,-132.15425434065037,0.3269546836719383,1.0
342,-132.15495715518983,0.32540630403308357,1.0
343,-132.1554013142753,0.322120665767317,1.0
344,-132.15588173048292,0.3160893625782319,1.0
345,-132.15621871025618,0.3138061302741568,1.0
346,-132.15648041681877,0.31096738124820705,1.0
347,-132.15693732598297,0.3081196186302601,1.0
348,-132.157458273329,0.3044658091313508,1.0
349,-132.1578975607443,0.299771381030269,1.0
350,-132.15841718034352,0.2954963325801212,1.0
351,-132.158801703227,0.2913488628084913,1.0
352,-132.15909583590147,0.28916136598919734,1.0
353,-132.1593715535122,0.28587340487653784,1.0
354,-132.1597351467081,0.2801240114740763,1.0
355,-132.16006217740662,0.2759261845526376,1.0
356,-132.16050076939712,0.2729993011512748,1.0
357,-132.1608762725053,0.2709276513505175,1.0
358,-132.16125812113287,0.2694239059213721,1.0
359,-132.16165509515696,0.2642061283572545,1.0
360,-132.16205402401104,0.26138246623326555,1.0
361,-132.16239875984004,0.2591595777936133,1.0
362,-132.1626567155301,0.25720129891058574,1.0
363,-132.16295673994222,0.2535627703547714,1.0
364,-132.1632555093796,0.25128563701740786,1.0
365,-132.163653289509,0.2497041210534904,1.0
366,-132.1638594477764,0.24864932335150328,1.0
367,-132.16408874617122,0.24678644059821953,1.0
368,-132.16441805186224,0.24405773232529704,1.0
369,-132.1646462183223,0.24189690197235283,1.0
370,-132.1649444018846,0.23947829714773788,1.0
371,-132.16523793343464,0.23427783883996486,1.0
372,-132.16543339138622,0.2310611902370152,1.0
373,-132.16568003689127,0.2278358459677418,1.0
374,-132.16587071881816,0.22482298323584507,1.0
375,-132.16613432602503,0.2230570406543488,1.0
376,-132.16632910086318,0.2200388387018035,1.0
377,-132.16657630707311,0.21793171911602238,1.0
378,-132.16674760906446,0.21520809549519737,1.0
379,-132.16692930336646,0.21280451129212616,1.0
380,-132.16709573246484,0.21083781045106045,1.0
381,-132.16742338258604,0.20834375469475216,1.0
382,-132.16764167828902,0.2061122233415189,1.0
383,-132.16781548440147,0.20309034825542138,1.0
384,-132.1679595358889,0.20124468626226177,1.0
385,-132.16818260871304,0.20033124828753301,1.0
386,-132.1684251855032,0.19819586206076353,1.0
387,-132.16865336223182,0.1961357176825181,1.0
388,-132.16879715868401,0.19517936034849473,1.0
389,-132.16894119837758,0.1925015608694439,1.0
390,-132.16914620731765,0.19004197741590487,1.0
391,-132.1693263566031,0.1871104703021746,1.0
392,-132.16943976194455,0.18679162172171693,1.0
393,-132.16959528611477,0.1837370070251955,1.0
394,-132.16979138846912,0.18185103328288482,1.0
395,-132.1699595291142,0.17946448932217168,1.0
396,-132.17008946837873,0.17759692582576922,1.0
397,-132.17019927371342,0.1766814639235193,1.0
398,-132.17034624100756,0.17433144326580557,1.0
399,-132.1704985433392,0.17271777248960796,1.0
400,-132.17059112659817,0.17149117253483234,1.0
401,-132.17072133783057,0.16902054282973278,1.0
402,-132.17084640454942,0.1672039301851059,1.0
403,-132.17097025080366,0.16564464056105516,1.0
404,-132.17111326641898,0.16175392442820072,1.0
405,-132.17125890350883,0.16024630016281713,1.0
406,-132.17132743255917,0.15791244515106423,1.0
407,-132.17143638966488,0.15636308193848503,1.0
408,-132.1715562871083,0.15416624572804408,1.0
409,-132.17165393485936,0.15363453169428837,1.0
410,-132.17175550915772,0.1512369304433032,1.0
411,-132.17187972603583,0.14914391785714892,1.0
412,-132.17199475526897,0.14723455462256455,1.0
413,-132.17210703721955,0.14466748924766712,1.0
414,-132.17219211560763,0.14343322146418833,1.0
415,-132.17227543139668,0.1418163126954956,1.0
416,-132.172369111345,0.13965665172709715,1.0
417,-132.17247432630614,0.13874864299924972,1.0
418,-132.17257218577907,0.137068909721981,1.0
419,-132.1726837857303,0.1350580857281672,1.0
420,-132.1727757298962,0.13272940544516346,1.0
421,-132.1728663101001,0.13164740006961562,1.0
422,-132.17293603824345,0.1304794515844512,1.0
423,-132.1730160532195,0.12906169723195535,1.0
424,-132.1730769537873,0.1279407177390069,1.0
425,-132.17314699793613,0.12659804589368265,1.0
426,-132.17320906449527,0.12545508150610313,1.0
427,-132.17328654619615,0.12397617928284238,1.0
