k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
165,6.920343617228697,2.8221405105508692,0.8255975051767633,0.0078125,7,4,10,1e-08,1e-08,7,359.3328570643286
166,6.903273775750668,6.76697905201617,0.8442565815446951,0.0625,7,4,10,1e-08,1e-08,10,246.7401450327419
167,6.902492378248883,6.359373481922321,0.8436624031747548,0.001953125,7,4,10,1e-08,1e-08,10,611.12966138688
168,6.867818688333172,3.0927623716609203,0.8453799572377532,0.00390625,7,4,10,1e-08,1e-08,10,238275.20754817396
169,6.849444199386222,3.9733547745114524,0.8547538947709565,0.00390625,7,4,10,1e-08,1e-08,10,38035957.58463945
170,6.8404910834339505,5.881621072715672,0.86075047119555,0.125,7,4,10,1e-08,1e-08,1,547.6085518567952
171,6.839516333784993,5.188842409177767,0.8601071418850404,0.0078125,7,4,10,1e-08,1e-08,10,478.58696316872226
172,6.839374300380936,5.164478057047537,0.8601140498992251,0.0078125,7,4,10,1e-08,1e-08,10,2040.5037391532783
173,6.8386584478208805,5.0561297254395114,0.8596697938997012,0.001953125,7,4,10,1e-08,1e-08,10,731672.5952977921
174,6.81450233250419,2.8898390377081964,0.8651977184533238,0.0078125,7,4,10,1e-08,1e-08,10,17190666.784260146
175,6.802437255727354,7.440042237760627,0.8794482282250782,0.25,7,4,10,1e-08,1e-08,5,574.073614754705
176,6.794555096519173,5.564549219442197,0.8784076776681313,0.001953125,7,4,10,1e-08,1e-08,10,748.1961154655683
177,6.766415841692586,3.148249007462373,0.8838479910976375,0.001953125,7,4,10,1e-08,1e-08,10,1221016.302908893
178,6.766312100650971,3.1359992155497998,0.8837421608498538,0.00390625,7,4,10,1e-08,1e-08,10,7064090.185899461
179,6.747711421245774,4.1208725146848595,0.8903674896082524,0.00390625,7,4,10,1e-08,1e-08,5,521.4059466967864
180,6.74299028026328,6.550233030065621,0.9005478399531823,0.0009765625,7,4,10,1e-08,1e-08,10,4694.882002512583
181,6.742813435498835,6.5300408158936305,0.9006447660770036,0.015625,7,4,10,1e-08,1e-08,10,670882.8230007623
182,6.742801490746078,6.449883729897573,0.9003990587316123,0.001953125,7,4,10,1e-08,1e-08,10,518996.874395839
183,6.711038187723503,3.4738641827098005,0.9023520014016574,0.00390625,7,4,10,1e-08,1e-08,8,484.83554747206546
184,6.698818462172,5.235214182483462,0.912058065134357,0.001953125,7,4,10,1e-08,1e-08,10,1086.2259117726626
185,6.675651471841506,3.1511338605241463,0.9145315084725437,0.00390625,7,4,10,1e-08,1e-08,10,737251.4806592631
186,6.6603374739544,4.557616003641606,0.9239213509540088,0.001953125,7,4,10,1e-08,1e-08,10,12539984.05490024
187,6.641102303580466,2.9878423334943087,0.9266796711121834,0.00390625,7,4,10,1e-08,1e-08,4,433.16335926890497
188,6.624263648682662,4.198482017746078,0.9358585860087748,0.00390625,7,4,10,1e-08,1e-08,10,80369.26583959072
