k,f,grad_norm,alpha,rk_residual
294,-45.15420045741495,5.306229756283224e-08,1.862645149230957e-09,1.402300783195742e-11
295,-45.15420045741495,5.30622975435501e-08,1.862645149230957e-09,1.3142335065407037e-11
296,-45.15420045741495,5.306229752426797e-08,1.862645149230957e-09,1.4190740551814018e-11
297,-45.15420045741495,5.306229750498583e-08,1.862645149230957e-09,1.5386101611565284e-11
298,-45.15420045741495,5.3062297485703695e-08,3.725290298461914e-09,1.1892195506101625e-11
299,-45.15420045741495,5.306229742103049e-08,3.725290298461914e-09,2.5443546370709325e-11
300,-45.15420045741495,5.306229735635729e-08,3.725290298461914e-09,3.4378568567153895e-11
301,-45.15420045741495,5.306229729168409e-08,3.725290298461914e-09,3.757501300913771e-11
302,-45.15420045741495,5.306229722701089e-08,3.725290298461914e-09,3.7589086840264075e-11
303,-45.15420045741495,5.306229716233769e-08,3.725290298461914e-09,3.9500619075417496e-11
304,-45.15420045741495,5.306229709766449e-08,3.725290298461914e-09,3.5024235247687125e-11
305,-45.15420045741495,5.306229703299129e-08,3.725290298461914e-09,3.8921919483456904e-11
306,-45.15420045741495,5.306229696831809e-08,3.725290298461914e-09,4.455720808216681e-11
307,-45.15420045741495,5.3062296903644895e-08,3.725290298461914e-09,4.228798057942067e-11
308,-45.15420045741495,5.306229683897169e-08,1.862645149230957e-09,3.965442645365898e-11
309,-45.15420045741495,5.3062296819689556e-08,1.862645149230957e-09,2.7472140847065418e-11
310,-45.15420045741495,5.306229680040742e-08,1.862645149230957e-09,2.085979934648354e-11
311,-45.15420045741495,5.3062296781125285e-08,1.862645149230957e-09,1.7010952219889172e-11
312,-45.15420045741495,5.306229676184315e-08,1.862645149230957e-09,1.6338063664033065e-11
313,-45.15420045741495,5.306229674256101e-08,1.862645149230957e-09,1.5687825868368734e-11
314,-45.15420045741495,5.3062296723278877e-08,7.450580596923828e-09,1.2817650391406752e-11
315,-45.15420045741495,5.306229648184197e-08,7.450580596923828e-09,1.012100578791835e-10
316,-45.15420045741495,5.3062296240405054e-08,7.450580596923828e-09,1.2254674710999408e-10
317,-45.15420045741495,5.306229599896815e-08,7.450580596923828e-09,1.2307228669957126e-10
318,-45.15420045741495,5.306229575753125e-08,7.450580596923828e-09,1.3035573114593842e-10
319,-45.15420045741495,5.306229551609434e-08,2.9802322387695312e-08,1.3777348999706306e-10
